date,snfg,fg_name,matter_code,matter,qty_real,qty_theoretical,bulk_loss,reject_retur,sisa_bulk,overfill,loading_unloading_loss,loss,brand,coitem,target,note,line,netto,netto_min,product_status,product_type,timestamp
2022-04-20,BP-IWEDT-KA/H0005,KAHF INVIGORATING WATERFALL EAU DE TOILETTE 35 ML,L,LIQUID,525.14,590,64.86,0.0,37.88,8.4,18.58,DOWNSTREAM LOSS,KAHF,BP-IWEDT-KA,,,EMP17,0.03556,0.035,EXISTING,LAUNCH,2022-04-21 07:05
2022-04-20,CON-LBBL01-W/H0004,WARDAH LIGHTENING LIQUID CONCEALER 01 LIGHT 7 G (BLISTER),L,LIQUID,262.58,282,19.42,0,0,6.75,12.67,DOWNSTREAM LOSS,WARDAH,CON-LBBL01-W,,,BLP01,0.00718,0.007,EXISTING,LAUNCH,2022-04-21 07:05
2022-04-20,CUS-REFC01-W/H0003,WARDAH REFILL EXCLUSIVE FLAWLESS COVER CUSHION 01 LIGHT BEIGE 15 G,L,LIQUID,97.92,109,11.08,0,0,2.48,8.6,DOWNSTREAM LOSS,WARDAH,CUS-REFC01-W,,,CUP01,0.01538,0.015,EXISTING,LAUNCH,2022-04-21 07:05
2022-04-20,F-BWMM03-EM/H0001,EMINA BARE WITH ME MINERAL MILD FOUNDATION 03 CARAMEL 30 ML,L,LIQUID,134.04,148,13.96,0.0,6.34,3.22,4.4,DOWNSTREAM LOSS,EMINA,F-BWMM03-EM,,,BOP10,0.03268,0.031914,EXISTING,LAUNCH,2022-04-21 07:05
2022-04-20,F-LUC02-MO33ML/H0004,MAKE OVER ULTRA COVER LIQUID MATT FOUNDATION 02 PINK SHADE 33 ML (PC(S)),L,LIQUID,198.0,236,38.0,0.0,23.28,10.08,4.64,DOWNSTREAM LOSS,MAKE OVER,F-LUC02-MO33ML,,,BOP10,0.03468,0.033,EXISTING,LAUNCH,2022-04-21 07:05
2022-04-20,FS-RLN2-W/H0013,WARDAH LIGHTENING GENTLE EXFOLIATOR 50 ML,L,LIQUID,942.88,974,31.12,0,0,14.7,16.42,DOWNSTREAM LOSS,WARDAH,FS-RLN2-W,,,TUP09,0.0508,0.05002,EXISTING,RELAUNCH,2022-04-21 07:05
2022-04-20,FS-SGESEC-KA/H0025,KAHF GENTLE EXFOLIATING FACE SCRUB WITH STICKER EYE CATCH 100 ML,L,LIQUID,979,979,0,1.3,0,-46.0,44.7,DOWNSTREAM LOSS,KAHF,FS-SGESEC-KA,,,VMP01,0.10028,0.105,NEW PRODUCT,LAUNCH,2022-04-21 07:05
2022-04-20,FS-SGESEC-KA/H0026,KAHF GENTLE EXFOLIATING FACE SCRUB WITH STICKER EYE CATCH 100 ML,L,LIQUID,981,981,0,0,0,-43.37,43.37,DOWNSTREAM LOSS,KAHF,FS-SGESEC-KA,,,VMP03,0.10048,0.105,NEW PRODUCT,LAUNCH,2022-04-21 07:05
2022-04-20,FT-LFT-W/H0038,WARDAH LIGHTENING FACE TONER 125 ML,L,LIQUID,2775.0,2944,169.0,0,0,9.77,159.23,DOWNSTREAM LOSS,WARDAH,FT-LFT-W,,,BOP02,0.12544,0.125,EXISTING,RELAUNCH,2022-04-21 07:05
2022-04-20,FT-RPHASN2-EM/H0001,EMINA MS. PIMPLE ACNE SOLUTION FACE TONER 100 ML,L,LIQUID,923.4,989,65.6,0,0,0.0,65.6,DOWNSTREAM LOSS,EMINA,FT-RPHASN2-EM,,,BOP04,0.1026,0.1026,INITIAL,,2022-04-21 07:05
