Header;Type;Component code;Type;Coefficient;UOM of Header;UOM of Component;Loos%;No.;Start date;End date
2PR--MO100ML;FG;BOTS-MUR100R0-MO;SFG Packs;1;Pc(s);Pc(s);0.056561085972851;10;;
2PR--MO100ML;FG;CAP-BNG100HG-X;PM;1;Pc(s);Pc(s);0.056561085972851;11;;
2PR--MO100ML;FG;KB-MOSSTP-291145K150;PM;0.04167;Pc(s);Pc(s);0.056561085972851;12;;
2PR--MO100ML;FG;PLU-BB100N-;PM;1;Pc(s);Pc(s);0.056561085972851;13;;
2PR--MO100ML;FG;PS-PVCMUR-WPVC;PM;1;Pc(s);Pc(s);0.056561085972851;14;;
A-BPCB-W20G;FG;CAP-CABPCB-WASABS;PM;1;Pc(s);Pc(s);0.009895833333333;15;;
A-BPCB-W20G;FG;CONT-ABPCB-WASABS;PM;1;Pc(s);Pc(s);0.009895833333333;16;;
A-BPCB-W20G;FG;DUS-APBBR1-WACLG;PM;1;Pc(s);Pc(s);0.009895833333333;17;;
A-BPCB-W20G;FG;KB-W100BR2-KMM125BF;PM;0.02083;Pc(s);Pc(s);0.009895833333333;18;;
A-BPCB-W20G;FG;STIC-BOTAPBB-WCNF;PM;1;Pc(s);Pc(s);0.009895833333333;19;;
A-BPCB-W20G;FG;STIC-BOTAPBBR1-WCNF;PM;1;Pc(s);Pc(s);0.009895833333333;19;;
A-DM-W40ML;FG;DUS-ADM40CR1-WACLG;PM;1;Pc(s);Pc(s);0.000902527075812;20;;
A-DM-W40ML;FG;DUS-ADM40CR2-WACLG;PM;1;Pc(s);Pc(s);0.000902527075812;20;;
A-DM-W40ML;FG;KB-WTHETAR1-W;PM;0.03333;Pc(s);Pc(s);0.000902527075812;21;;
A-DM-W40ML;FG;TUBE-ADM40R2-W;PM;1;Pc(s);Pc(s);0.000902527075812;22;;
A-FP-W20G;FG;CAP-CAFP-WASABS;PM;1;Pc(s);Pc(s);0.021701388888889;23;;
A-FP-W20G;FG;CONT-AFP-WASN;PM;1;Pc(s);Pc(s);0.021701388888889;24;;
A-FP-W20G;FG;DUS-AFPR2-WACLG;PM;1;Pc(s);Pc(s);0.021701388888889;25;;
A-FP-W20G;FG;KB-W200R1-W;PM;0.02083;Pc(s);Pc(s);0.021701388888889;26;;
A-FP-W20G;FG;PUFF-AFP-WMFLH;PM;1;Pc(s);Pc(s);0.021701388888889;27;;
A-FP-W20G;FG;SHIF-CAFPR1-W;PM;1;Pc(s);Pc(s);0.021701388888889;28;;
A-FP-W20G;FG;STIC-BTAFPRR2-W;PM;1;Pc(s);Pc(s);0.021701388888889;29;;
A-NTM-W40ML;FG;DUS-ANTM40CR1-WACLG;PM;1;Pc(s);Pc(s);0.030006609385327;30;;
A-NTM-W40ML;FG;KB-WTHETAR1-W;PM;0.03333;Pc(s);Pc(s);0.030006609385327;31;;
A-NTM-W40ML;FG;TUBE-ANTM40R1-W;PM;1;Pc(s);Pc(s);0.030006609385327;32;;
A-PFC-W60ML;FG;KB-K100R1-W;PM;0.02778;Pc(s);Pc(s);0.021230520996985;33;;
A-PFC-W60ML;FG;TUBE-APFC60R2-W;PM;1;Pc(s);Pc(s);0.021230520996985;34;;
A-PRT-W100ML;FG;BOTO-BNG100PVC-;PM;1;Pc(s);Pc(s);0.029827315541601;35;;
A-PRT-W100ML;FG;CAP-BNG100P-;PM;1;Pc(s);Pc(s);0.029827315541601;36;;
A-PRT-W100ML;FG;DUS-APFT100R1-WILG;PM;1;Pc(s);Pc(s);0.029827315541601;37;;
A-PRT-W100ML;FG;KB-W100BR2-KMM125BF;PM;0.05;Pc(s);Pc(s);0.029827315541601;38;;
A-PRT-W100ML;FG;PLU-BB100N-;PM;1;Pc(s);Pc(s);0.029827315541601;39;;
A-PRT-W100ML;FG;STIC-BAPRT100-WGCE;PM;1;Pc(s);Pc(s);0.029827315541601;40;;
A-PRT-W100ML;FG;STIC-BAPRT100R1-WGCE;PM;1;Pc(s);Pc(s);0.029827315541601;40;;
A-PRT-W100ML;FG;STIC-FAPRT100-WGCE;PM;1;Pc(s);Pc(s);0.029827315541601;41;;
A-PRT-W100ML;FG;STIC-FAPRT100R1-WGCE;PM;1;Pc(s);Pc(s);0.029827315541601;41;;
A-SATG-W15ML;FG;DUS-ASATG15R1-WACLG;PM;1;Pc(s);Pc(s);0.030118649224217;42;;
A-SATG-W15ML;FG;DUS-ASATG15R2-WACLG;PM;1;Pc(s);Pc(s);0.030118649224217;42;;
A-SATG-W15ML;FG;KB-W100BR2-KMM125BF;PM;0.02381;Pc(s);Pc(s);0.030118649224217;43;;
A-SATG-W15ML;FG;TUBE-ASATG15-W19LN;PM;1;Pc(s);Pc(s);0.030118649224217;44;;
B-BSLP-EM;FG;BOTO-SBSLPR3-E;SFG Packs;1;Pc(s);Pc(s);0.01992337164751;45;;
B-BSLP-EM;FG;CAPS-BSLPR2-EM;PM;1;Pc(s);Pc(s);0.01992337164751;46;;
B-BSLP-EM;FG;KB-ECR1-KMK125CF;PM;0.02778;Pc(s);Pc(s);0.01992337164751;47;;
B-BSLP-EM;FG;SHIF-STBSLPR1-EBS;PM;1;Pc(s);Pc(s);0.01992337164751;48;;
B-CLCLPA-W;FG;CAPP-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;49;;
B-CLCLPA-W;FG;DUS-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;50;;
B-CLCLPA-W;FG;DUS-CMPR1-W;PM;1;Pc(s);Pc(s);0.030844155844156;50;;
B-CLCLPA-W;FG;KB-GKMK-W;PM;0.02083;Pc(s);Pc(s);0.030844155844156;51;;
B-CLCLPA-W;FG;POT-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;52;;
B-CLCLPA-W;FG;PUFF-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;53;;
B-CLCLPA-W;FG;SHIF-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;54;;
B-CLCLPA-W;FG;STIC-BCMP22NR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;55;;
B-CLCLPA-W;FG;STIC-BCMP22NR1-W;PM;1;Pc(s);Pc(s);0.030844155844156;55;;
B-CLCLPA-W;FG;STIC-VCMP22NR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;56;;
B-CLCLPB-W;FG;CAPP-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;57;;
B-CLCLPB-W;FG;DUS-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;58;;
B-CLCLPB-W;FG;DUS-CMPR1-W;PM;1;Pc(s);Pc(s);0.030844155844156;58;;
B-CLCLPB-W;FG;KB-GKMK-W;PM;0.02083;Pc(s);Pc(s);0.030844155844156;59;;
B-CLCLPB-W;FG;POT-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;60;;
B-CLCLPB-W;FG;PUFF-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;61;;
B-CLCLPB-W;FG;SHIF-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;62;;
B-CLCLPB-W;FG;STIC-BCMP23WR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;63;;
B-CLCLPB-W;FG;STIC-BCMP23WR1-W;PM;1;Pc(s);Pc(s);0.030844155844156;63;;
B-CLCLPB-W;FG;STIC-VCMP23WR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;64;;
B-CLCLPC-W;FG;CAPP-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;65;;
B-CLCLPC-W;FG;DUS-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;66;;
B-CLCLPC-W;FG;DUS-CMPR1-W;PM;1;Pc(s);Pc(s);0.030844155844156;66;;
B-CLCLPC-W;FG;KB-GKMK-W;PM;0.02083;Pc(s);Pc(s);0.030844155844156;67;;
B-CLCLPC-W;FG;POT-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;68;;
B-CLCLPC-W;FG;PUFF-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;69;;
B-CLCLPC-W;FG;SHIF-CMPR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;70;;
B-CLCLPC-W;FG;STIC-BCMP32NR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;71;;
B-CLCLPC-W;FG;STIC-BCMP32NR1-W;PM;1;Pc(s);Pc(s);0.030844155844156;71;;
B-CLCLPC-W;FG;STIC-VCMP32NR0-W;PM;1;Pc(s);Pc(s);0.030844155844156;72;;
