Code,Product,Quantity on Hand,Reserved,Available
00126,Wardah Everyday BB Cream Light 15 ml (pc(s)),4.0,0.0,4.0
00289,Wardah White Secret Day Cream 17 ml (pc(s)),700.0,700.0,0.0
00290,Wardah White Secret Day Cream 30 gr (pc(s)),11356.0,11356.0,0.0
00294,Wardah White Secret Facial Wash with AHA 100 ml (Pc(s)),1000.0,1000.0,0.0
00624,MAKE OVER Trivia Eye Shadow Emperor Brown 6 g (Pc(s)),10.0,0.0,10.0
00778,Emina Cheek Lit Pressed Blush Cherry Blossoms 3.5 gr (Pc(s)),15.0,0.0,15.0
00950,Wardah Eye Liner White,1177.0,0.0,1177.0
01295,Malaysia Wardah Eye Brow Brown 1.14 g (Pc(s)),1.0,0.0,1.0
01422,"Wardah Tester Lipstick Exclusive 51 Pink Blush 3,8 gr (Pc(s))",8.0,0.0,8.0
01425,"Wardah Tester Lipstick Exclusive 52 Earthy Brown 3,8 gr (Pc(s))",10.0,0.0,10.0
01427,"Wardah Tester Lipstick Exclusive 53 Queen Red 3,8 gr (Pc(s))",34.0,0.0,34.0
01435,Wardah Tester Lipstick Longlasting 16 Smooth Latte 2.3 g (Pc(s)),12298.0,120.0,12178.0
01440,Wardah Tester Intense Matte Lipstick 13 Yummy Brownie 2.3 g (Pc(s)),8.0,0.0,8.0
01442,Wardah Tester Intense Matte Lipstick 15 Out of Red! 2.3 g (Pc(s)),14923.0,84.0,14839.0
01443,Wardah Tester Intense Matte Lipstick 16 Pecan Pie 2.3 g (Pc(s)),15622.0,564.0,15058.0
01528,Wardah Everyday Fruity Sheer Lip Balm Strawberry 4 g,9216.0,0.0,9216.0
01529,Wardah Everyday Fruity Sheer Lip Balm Grape 4 g,11520.0,0.0,11520.0
01533,Wardah Everyday Cheek and Lip Tint 02 My Baerry! 5.5 g,10.0,0.0,10.0
01689,Wardah Instaperfect MATTE FIT Powder Foundation 13. Beige 13 g,1.0,1.0,0.0
01713,Wardah Lightening Facial Scrub 60 ml,30.0,30.0,0.0
01755,Wardah Instaperfect MATTESETTER Lip Matte Paint 04. VIBE 5.5 g,1.0,1.0,0.0
01759,Wardah Instaperfect MINERALIGHT MATTE BB Cushion 13. BEIGE 15 g,73.0,1.0,72.0
01761,Wardah Instaperfect CITY BLUSH Blusher Click 01. Bliss 5.6 g,151.0,1.0,150.0
01762,Wardah Instaperfect CITY BLUSH Blusher Click 02. Adore 5.6 g,36.0,0.0,36.0
01781,Wardah Scentsation Peaceful Eau De Toilette 35 ml (Pc(s)),6.0,0.0,6.0
01797,Emina Masquerade Face Mask Tea Tree Oil 23 g,30713.0,0.0,30713.0
01802,Wardah Instaperfect DYNAMATIC Microsmooth Liner 0.2 g,1.0,1.0,0.0
01821,Malaysia Wardah Everyday Shine Free BB Loose Powder 8 gr (Pc(s)),288.0,0.0,288.0
01831,Malaysia Wardah Refill Lightening Two Way Cake Light Feel 03 Sheer Pink 12 g,36.0,0.0,36.0
01836,MAKE OVER Multifix Matte Blusher 03 Blush Rush 9 g,7.0,0.0,7.0
01838,MAKE OVER Multifix Matte Blusher 05 Heatshot 9 g,1.0,0.0,1.0
01842,Wardah Instaperfect SPOTLIGHT Chromatic Eye Palette 10 g,1.0,1.0,0.0
01910,Emina Ms. Pimple Acne Solution Face Toner 50 ml,1.0,0.0,1.0
01911,Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 01. BROWN 5.5 g,1.0,1.0,0.0
01924,Emina Bare With Me Mineral Cushion 04 Mocca 15 g,1814.0,0.0,1814.0
01958,MAKE OVER POWERSTAY Under Eye Perfecting Concealer 20 Light 1.8 ml,2.0,0.0,2.0
01974,Wardah Nature Daily Sheet Mask Rice 20 ml,1.0,0.0,1.0
01992,Emina Bright Stuff Tone Up Cream 20 ml,3.0,0.0,3.0
02005,MAKE OVER Powerstay Demi-Matte Cover Cushion N30 Natural Beige 15 g,2736.0,0.0,2736.0
02078,Wardah Exclusive Blush On 01 Rosy Pink 6.5 g ,1.0,0.0,1.0
02080,Wardah Exclusive Eyeshadow Palette 01 Sunset Brown 10 g,1.0,0.0,1.0
02081,Wardah Exclusive Eyeshadow Palette 02 Rose Glow 10 g,1.0,0.0,1.0
02112,Wardah Colorfit Velvet Matte Lip Mousse 01 Brown Dreamer 4 g,1.0,0.0,1.0
02113,Wardah Colorfit Velvet Matte Lip Mousse 02 Joyful Orange 4 g,10.0,0.0,10.0
02114,Wardah Colorfit Velvet Matte Lip Mousse 03 Rose Ballerina 4 g,10.0,0.0,10.0
02115,Wardah Colorfit Velvet Matte Lip Mousse 04 Pink Sweetheart 4 g,10.0,0.0,10.0
02116,Wardah Colorfit Velvet Matte Lip Mousse 05 Artisan Mauve 4 g,10.0,0.0,10.0
02117,Wardah Colorfit Velvet Matte Lip Mousse 06 Fuchsia Lover 4 g,10.0,0.0,10.0
02118,Wardah Colorfit Velvet Matte Lip Mousse 07 Red Pioneer 4 g,10.0,0.0,10.0
02128,Wardah Lightening Two Way Cake Light Feel 02 Golden Beige 12 g,1750.0,0.0,1750.0
02162,Wardah Colorfit Ultralight Matte Lipstick 02 Summer Peach 3.6 g,10.0,0.0,10.0
02164,Wardah Colorfit Ultralight Matte Lipstick 04 Mocca Brown 3.6 g,10.0,0.0,10.0
02165,Wardah Colorfit Ultralight Matte Lipstick 05 Blossom Pink 3.6 g,2242.0,0.0,2242.0
02168,Wardah Colorfit Ultralight Matte Lipstick 08 Woodsy Brown 3.6 g,10.0,0.0,10.0
02169,Wardah Crystallure Supreme Revitalizing Rich Cream 50 g,35.0,35.0,0.0
02170,Wardah Crystallure Supreme Activating Overnight Cream 50 g,35.0,35.0,0.0
02171,Wardah Crystallure Supreme Advanced Eye Serum 15 ml,5.0,5.0,0.0
02172,Crystallure Supreme Activating Booster Essence 30 ml,35.0,35.0,0.0
02173,Wardah Crystallure Supreme Double Action Micellar Gel 150 ml,3.0,3.0,0.0
