Code,Product,Quantity on Hand,Reserved,Available
00011,Wardah C-defense DD Cream Light 20 ml (Pc(s)),21528.0,21528.0,0.0
00012,Wardah C-defense DD Cream Natural 20 ml (Pc(s)),7308.0,7308.0,0.0
00013,Wardah C-defense Serum 17 ml (Pc(s)),15960.0,0.0,15960.0
00071,Wardah EyeXpert Aqua Lash Mascara 6 gr (Pc(s)),2160.0,432.0,1728.0
00076,Wardah EyeXpert Optimum Hi-Black Liner 1 gr (Pc(s)),6000.0,400.0,5600.0
00077,Wardah EyeXpert Perfectcurl Mascara 7 gr (Pc(s)),4464.0,4464.0,0.0
00079,"Wardah Eyexpert Staylast Liquid Eyeliner 3,5 gr (Pc(s))",1296.0,864.0,432.0
00080,Wardah Lightening BB Cream Light 15 ml (pc(s)),5280.0,336.0,4944.0
00119,Wardah Blush On C 4 gr,1560.0,1560.0,0.0
00127,Wardah Everyday BB Cream Light 30 ml (Pc(s)),3492.0,3474.0,18.0
00172,Wardah Lip Palette Chocoaholic 10 g (Pc(s)),390.0,0.0,390.0
00173,Wardah Lip Palette Perfect Red 10 g (pc(s)),78.0,0.0,78.0
00174,Wardah Lip Palette Pinky Peach 10 g (pc(s)),780.0,0.0,780.0
00290,Wardah White Secret Day Cream 30 gr (pc(s)),216.0,0.0,216.0
00781,Emina Cheek Lit Pressed Blush Sugarcane 3.5 gr (Pc(s)),480.0,480.0,0.0
00782,Emina Cheek Lit Pressed Blush Violet Berry 3.5 gr (Pc(s)),240.0,240.0,0.0
00903,Wardah Eye Brow Brown,400.0,0.0,400.0
00942,Wardah Exclusive Matte Lip Cream 01 Red-dicted 4 gr (Pc(s)),720.0,720.0,0.0
00943,Wardah Exclusive Matte Lip Cream 02 Fuschionately 4 gr (Pc(s)),288.0,288.0,0.0
00944,Wardah Exclusive Matte Lip Cream 03 See You Latte 4 gr (Pc(s)),1152.0,1152.0,0.0
00945,Wardah Exclusive Matte Lip Cream 04 Pink Me 4 gr (Pc(s)),144.0,144.0,0.0
00946,Wardah Exclusive Matte Lip Cream 05 Speachless 4 gr (Pc(s)),1152.0,1152.0,0.0
00947,Wardah Exclusive Matte Lip Cream 06 Feeling Red 4 gr (Pc(s)),3312.0,3312.0,0.0
00948,Wardah Eye Liner Black,3200.0,1200.0,2000.0
00957,Emina Sugar Rush Lip Scrub 4.2 gr (Pc(s)),5904.0,5184.0,720.0
01016,Emina Dirt-less In Sight Make UP Remover 50 ml (Pc(s)),56.0,0.0,56.0
01057,Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4 gr (Pc(S)),144.0,144.0,0.0
01065,Wardah Exclusive Matte Lip Cream 07 Hello Ruby 4 gr (Pc(s)),864.0,864.0,0.0
01075,Wardah Exclusive Matte Lip Cream 09 Mauve On 4 gr (Pc(S)),2448.0,2448.0,0.0
01076,Wardah Exclusive Matte Lip Cream 10 Berry Pretty 4 gr (Pc(s)),2304.0,2304.0,0.0
01077,Wardah Exclusive Matte Lip Cream 11 Oh So Nude 4 gr (Pc(s)),4176.0,4176.0,0.0
01078,Wardah Exclusive Matte Lip Cream 12 Plum It Up 4 gr (Pc(s)),432.0,432.0,0.0
01101,Emina Creamatte 04 Frostbite 5.5 gr (Pc(s)),288.0,288.0,0.0
01105,Wardah Lipstick Longlasting 01 Fabulous Peach 2.3 g (Pc(s)),240.0,0.0,240.0
01115,Wardah Lipstick Longlasting 11 Cherrie Glam 2.3 g (Pc(s)),240.0,0.0,240.0
01117,Wardah Lipstick Longlasting 13 Classic Brown 2.3 g (Pc(s)),240.0,0.0,240.0
01123,Wardah Intense Matte Lipstick 05 Easy Brownie 2.3 g (Pc(s)),480.0,0.0,480.0
01124,Wardah Intense Matte Lipstick 06 Blooming Pink 2.3 g (Pc(s)),720.0,0.0,720.0
01221,Wardah Exclusive Matte Lip Cream 14 My Honey Bee 4 gr (Pc(s)),4176.0,4176.0,0.0
