Code,Product,Quantity on Hand,Reserved,Available
00001,Wardah Acne Cleansing Gel 60 ml,33.0,0.0,33.0
00002,Wardah Acne Gentle Scrub 60 ml,77.0,0.0,77.0
00003,Wardah Acne Face Powder 25 gr (Pc(s)),39.0,0.0,39.0
00004,Acne Perfecting Moisurizer Gel Wardah 40 ml (Pc(s)),24.0,0.0,24.0
00005,Wardah Acne Treatment Gel 15 ml,20.0,0.0,20.0
00006,Wardah Acne Pore Tightening Toner 100 ml,32.0,0.0,32.0
00007,Wardah Intensive Moisturising Body Serum 100 ml (Pc(s)),42.0,0.0,42.0
00008,Wardah Morning Essentials Body Moisturizer 100 ml (Pc(s)),101.0,0.0,101.0
00009,Wardah Roll On For Her 60 ml,34.0,0.0,34.0
00010,Wardah Roll On For Him 60 ml,33.0,0.0,33.0
00011,Wardah C-defense DD Cream Light 20 ml (Pc(s)),18.0,0.0,18.0
00012,Wardah C-defense DD Cream Natural 20 ml (Pc(s)),13.0,0.0,13.0
00013,Wardah C-defense Serum 17 ml (Pc(s)),11.0,0.0,11.0
00015,Crystallure 02 Ruby Red 3.8 gr,3.0,0.0,3.0
00018,Crystallure 05 Tourmaline Pink 3.8 gr,4.0,0.0,4.0
00021,Crystallure 08 Topaz Creme 3.8 gr,2.0,0.0,2.0
00022,Crystallure 09 Citrine Honey 3.8 gr,3.0,0.0,3.0
00024,Wardah Exclusive Creamy Foundation 01 Light Beige 10 gr (pc(s)),14.0,0.0,14.0
00025,Wardah Exclusive Creamy Foundation 02 Sheer Pink 10 gr (pc(s)),13.0,0.0,13.0
00026,Wardah Exclusive Creamy Foundation 03 Sandy Beige 10 gr (pc(s)),15.0,0.0,15.0
00027,Wardah Exclusive Creamy Foundation 04 Natural 10 gr (pc(s)),11.0,0.0,11.0
00028,Wardah Exclusive Creamy Foundation 05 Coffee Beige 10 gr (pc(s)),23.0,0.0,23.0
00029,"Wardah Lipstick Exclusive 20 Pink Pearl 3,8 gr",117.0,0.0,117.0
00030,"Wardah Lipstick Exclusive 21 Orchid Pink 3,8 gr",44.0,0.0,44.0
00031,"Wardah Lipstick Exclusive 23 Ruby Red 3,8 gr",39.0,0.0,39.0
00032,"Wardah Lipstick Exclusive 26 Mango 3,8 gr",53.0,0.0,53.0
00033,"Wardah Lipstick Exclusive 28 Rose Purple 3,8 gr",20.0,0.0,20.0
00034,"Wardah Lipstick Exclusive 29 Lavender 3,8 gr",107.0,0.0,107.0
00035,"Wardah Lipstick Exclusive 30 Golden Coral 3,8 gr",71.0,0.0,71.0
00036,"Wardah Lipstick Exclusive 31 Rose Wood 3,8 gr",341.0,0.0,341.0
00037,"Wardah Lipstick Exclusive 32 Sheer Brown 3,8 gr",141.0,0.0,141.0
00038,"Wardah Lipstick Exclusive 33 Peach Brown 3,8 gr",138.0,0.0,138.0
00039,"Wardah Lipstick Exclusive 34 Sweet Orchid 3,8 gr",172.0,0.0,172.0
00040,"Wardah Lipstick Exclusive 35 Great Berry 3,8 gr",103.0,0.0,103.0
00041,"Wardah Lipstick Exclusive 36 Sugary Pink 3,8 gr",28.0,0.0,28.0
00042,"Wardah Lipstick Exclusive 37 Pink Lovers 3,8 gr",302.0,0.0,302.0
00043,"Wardah Lipstick Exclusive 38 Red Brown 3,8 gr",59.0,0.0,59.0
00044,"Wardah Lipstick Exclusive 39 Warm Rose 3,8 gr",249.0,0.0,249.0
00045,"Wardah Lipstick Exclusive 40 Diva 3,8 gr",125.0,0.0,125.0
00046,"Wardah Lipstick Exclusive 41 Charming Red 3,8 gr (Pc(s))",67.0,0.0,67.0
00047,"Wardah Lipstick Exclusive 42 Precious Violet 3,8 gr",113.0,0.0,113.0
00048,"Wardah Lipstick Exclusive 43 Magnificent Red 3,8 gr (Pc(s))",27.0,0.0,27.0
00049,"Wardah Lipstick Exclusive 44 Daring Brown 3,8 gr (Pc(s))",125.0,0.0,125.0
00050,"Wardah Lipstick Exclusive 45 Maroon Style 3,8 gr",107.0,0.0,107.0
00051,"Wardah Lipstick Exclusive 46 Chic Magenta 3,8 gr",20.0,0.0,20.0
00052,"Wardah Lipstick Exclusive 47 Light Rose 3,8 gr",122.0,0.0,122.0
00053,"Wardah Lipstick Exclusive 48 Rosemary 3,8 gr",253.0,0.0,253.0
00054,"Wardah Lipstick Exclusive 49 Chestnut 3,8 gr",332.0,0.0,332.0
00055,"Wardah Lipstick Exclusive 50 Winter Pink 3,8 gr",2.0,0.0,2.0
00056,Wardah Exclusive Liquid Foundation 01 Light Beige 20 ml (Pc(s)),14.0,0.0,14.0
00057,Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml (Pc(s)),26.0,0.0,26.0
00058,Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml,8.0,0.0,8.0
00059,Wardah Exclusive Liquid Foundation 04 Natural 20 ml,20.0,0.0,20.0
00060,Wardah Exclusive Liquid Foundation 05 Coffee Beige 20 ml,4.0,0.0,4.0
00061,"Exclusive TWC 01 Light Beige, 14 gr",17.0,0.0,17.0
00062,"Exclusive TWC 02 Sheer Pink, 14 gr",156.0,0.0,156.0
00063,"Exclusive TWC 03 Sandy Beige, 14 gr",16.0,0.0,16.0
00064,"Exclusive TWC 04 Natural, 14 gr",16.0,0.0,16.0
00065,"Exclusive TWC 05 Coffee Beige, 14 gr",20.0,0.0,20.0
00066,"Refill Exclusive TWC 01 Light Beige, 14 gr",71.0,0.0,71.0
