Code,Product,Quantity on Hand,Reserved,Available
71,Wardah EyeXpert Aqua Lash Mascara 6 gr (Pc(s)),4662,0,4662
943,Wardah Exclusive Matte Lip Cream 02 Fuschionately 4 gr (Pc(s)),12,0,12
944,Wardah Exclusive Matte Lip Cream 03 See You Latte 4 gr (Pc(s)),2,0,2
950,Wardah Eye Liner White,1341,0,1341
1294,Malaysia Wardah Eye Brow Black 1.14 g (Pc(s)),86,0,86
1298,Malaysia Wardah Eye Liner White 1.14 g (Pc(s)),40,0,40
1301,"Malaysia Wardah Eye Shadow H 3,3 g (Pc(s))",4,0,4
1313,Malaysia Wardah Intense Matte Lipstick 09 Vibrant-Red 2.3 g (Pc(s)),93,0,93
1320,Malaysia Wardah Chocoaholic Lip Palette 10 g (Pc(s)),24,0,24
1402,Malaysia Wardah Eyexpert Eye Makeup Remover for Eye & Lip 100 ml (Pc(s)),6,0,6
1405,Malaysia Wardah Eyexpert Staylast Liquid Eyeliner 3.5 g (Pc(s)),56,0,56
1460,Emina My Favourite Things Lip Color Balm 10 Royal Queen 2.5 gr (Pc(s)),1,0,1
1740,Malaysia Wardah Longlasting Lipstick 13 Classic Brown 2.3 g (Pc(s)),12,0,12
1767,Malaysia Wardah Nature Daily Aloe Hydramild Multifunction Gel 100 ml,1,0,1
1771,MAKE OVER Lip Amplify Contour Liner 02 Flatter 0.2 g,144,0,144
1800,Wardah Instaperfect GENIUSTWIST Matic Contour Brow-Brushed 01. BROWN 0.25 g,72,0,72
1807,Malaysia Wardah Lightening Two Way Cake Light Feel 03 Sheer Pink 12 g,88,0,88
1851,Malaysia Wardah Nature Daily Seaweed Intensive Night Cream 30 g,1534,0,1534
1853,Malaysia Wardah Nature Daily Aloe Hydramild Serum 5 x 5 ml,1,0,1
1877,Malaysia Wardah Perfect Bright Creamy Foam Brightening + Smoothing 60 ml,540,0,540
2013,Malaysia Wardah Longlasting Lipstick 05 Fuchsia Fever 2.3 g (Pc(s)),480,0,480
2233,Malaysia Wardah Instaperfect HYPERGETIC Precise Black Liner 1 g,1440,0,1440
2235,Malaysia Wardah Instaperfect GENIUSTWIST Matic Contour Brow-Brushed 01. BROWN 0.25 g,960,0,960
2236,Malaysia Wardah Instaperfect GENIUSTWIST Matic Contour Brow-Brushed 02. DEEP GREY 0.25 g,1200,0,1200
2244,Malaysia Wardah Instaperfect GLOSS CHIC Lip Crayon 02 Clue 2.7 g,192,0,192
2252,Malaysia Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 01. SWING 3.5 g,360,0,360
2255,Malaysia Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 04. BUZZ 3.5 g,360,0,360
2256,Malaysia Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 05. FLUX 3.5 g,340,0,340
2257,Malaysia Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 01. BROWN 5.5 g,912,0,912
2329,MAKE OVER Powerstay Demi-Matte Cover Cushion W30 Creme Beige 15 g,3862,0,3862
