Code,Product,Quantity on Hand,Reserved,Available
80001,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g,8496.0,0.0,8496.0
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,3696.0,0.0,3696.0
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,3696.0,0.0,3696.0
80007,OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g,288.0,0.0,288.0
80008,OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g,1352.0,0.0,1352.0
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,564.0,0.0,564.0
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,14136.0,0.0,14136.0
80021,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry,6624.0,0.0,6624.0
80022,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 02 Juicy Grapefruit,7204.0,0.0,7204.0
80023,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach,7889.0,0.0,7889.0
80024,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum,6188.0,0.0,6188.0
80027,OMG OH MY GLOW Peach Glowing Face Wash 9 g,81704.0,0.0,81704.0
80028,OMG OH MY GLOW Peach Glowing Toner 100 ml,41728.0,0.0,41728.0
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,10808.0,280.0,10528.0
80030,OMG Oh My Glow Peach Glowing Cream 7.5 g,81622.0,0.0,81622.0
80031,OMG Oh My Glow Peach Glowing Cream 25 g,360.0,0.0,360.0
80044,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g,17280.0,0.0,17280.0
80045,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g,9216.0,0.0,9216.0
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,12120.0,144.0,11976.0
80048,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,266.0,44.0,222.0
80050,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,836.0,0.0,836.0
80051,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand,44.0,0.0,44.0
T80014,OMG Oh My Glam Juicy Kiss Lip Tint Serum TESTER SET (5.3 g x 4),3110.0,0.0,3110.0
