Code,Product,Quantity on Hand,Reserved,Available
4,Acne Perfecting Moisurizer Gel Wardah 40 ml (Pc(s)),7,0,7
9,Wardah Roll On For Her 60 ml,4257,0,4257
11,Wardah C-defense DD Cream Light 20 ml (Pc(s)),252,0,252
12,Wardah C-defense DD Cream Natural 20 ml (Pc(s)),36,0,36
13,Wardah C-defense Serum 17 ml (Pc(s)),12763,0,12763
41,"Wardah Lipstick Exclusive 36 Sugary Pink 3,8 gr",2,0,2
59,Wardah Exclusive Liquid Foundation 04 Natural 20 ml,1,0,1
76,Wardah EyeXpert Optimum Hi-Black Liner 1 gr (Pc(s)),549,0,549
77,Wardah EyeXpert Perfectcurl Mascara 7 gr (Pc(s)),40500,0,40500
79,"Wardah Eyexpert Staylast Liquid Eyeliner 3,5 gr (Pc(s))",12132,0,12132
80,Wardah Lightening BB Cream Light 15 ml (pc(s)),11237,0,11237
95,Wardah Lightening Milk Cleanser 150 ml,16,0,16
117,Wardah Blush On A 4 gr,9,0,9
118,Wardah Blush On B 4 gr,56,0,56
119,Wardah Blush On C 4 gr,5637,0,5637
120,Wardah Blush On D 4 gr,88,0,88
125,"Wardah Double Function Kit 4,5 gr",9,0,9
126,Wardah Everyday BB Cream Light 15 ml (pc(s)),21048,0,21048
127,Wardah Everyday BB Cream Light 30 ml (Pc(s)),13,0,13
128,Wardah Everyday BB Cream Natural 15 ml (Pc(s)),56784,0,56784
129,Wardah Everyday BB Cream Natural 30 ml (Pc(s)),12,0,12
133,"Wardah Evd Lum Creamy Foundation Extra Cover 04 Natural 8,5 g (Pc(s))",28,0,28
135,Wardah Evd Lum Creamy Foundation Light Feel 02 Light Beige 11 g (Pc(s)),20,0,20
138,Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s)),5862,0,5862
139,Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s)),16166,0,16166
140,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),6897,0,6897
141,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s)),8236,0,8236
146,Wardah Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),4,0,4
147,Wardah Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),37,0,37
148,Wardah Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),24,0,24
149,Wardah Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),293,0,293
174,Wardah Lip Palette Pinky Peach 10 g (pc(s)),78,0,78
217,Wardah Refill Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),1380,0,1380
218,Wardah Refill Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),1158,0,1158
219,Wardah Refill Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),169,0,169
220,Wardah Refill Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),142,0,142
264,Wardah Creamy Body Butter With Lavender & Ginger 50 ml (Pc(s)),20,0,20
265,Wardah Creamy Body Butter With Milk & Pearl 50 ml (Pc(s)),24,0,24
266,Wardah Creamy Body Butter With Olive 50 ml (pc(s)),84,0,84
267,Wardah Creamy Body Butter With Passion Fruit 50 ml (Pc(s)),4,0,4
268,Wardah Creamy Body Butter With Rose 50 ml (pc(s)),24,0,24
269,Wardah Creamy Body Butter With Strawberry 50 ml (Pc(s)),15,0,15
276,Wardah Creamy Body Butter With Lavender & Ginger 150 ml (Pc(s)),12,0,12
278,Wardah Creamy Body Butter With Olive 150 ml (Pc(s)),2892,0,2892
279,Wardah Creamy Body Butter With Passion Fruit 150 ml (Pc(s)),323,0,323
282,Wardah Olive Oil For Massage 150 ml,1896,0,1896
283,Wardah Pure Olive Oil 50 ml,3705,0,3705
284,Wardah Soft Body Scrub With Olive 150 ml (Pc(s)),99,0,99
285,Wardah Soft Body Scrub With Olive 240 ml (Pc(s)),1048,0,1048
286,Wardah Soft Body Scrub With Passion Fruit 150 ml (Pc(s)),288,0,288
287,Wardah Soft Body Scrub With Strawberry 150 ml (Pc(s)),624,0,624
289,Wardah White Secret Day Cream 17 ml (pc(s)),93,0,93
294,Wardah White Secret Facial Wash with AHA 100 ml (Pc(s)),3,0,3
297,Wardah White Secret Night Cream 30 gr (Pc(s)),863,0,863
299,Wardah White Secret Exfoliating Scrub 50 ml (Pc(s)),1476,0,1476
301,"Hair Tonic Ginseng, 200 ml",9627,0,9627
303,"Hair Tonic Ginseng, 450 ml",2060,0,2060
304,"Hair Tonic Ginseng, 2 L",8,0,8
305,"Hair Tonic Normal Hair (Yellow), 200 ml",1632,0,1632
307,"Hair Tonic Normal Hair (Yellow), 450 ml",214,0,214
309,"Hair Tonic Normal to Oily Hair (Green), 200 ml",19279,0,19279
310,"Hair Tonic Normal to Oily Hair (Green), 200 mld",10,0,10
311,"Hair Tonic Normal to Oily Hair (Green), 450 ml",1988,0,1988
312,"Hair Tonic Normal to Oily Hair (Green), 2 L",93,0,93
314,Putri Natural Candlenut Oil 100 ML (Pc(s)),81,0,81
315,Putri Natural Creambath Aloe Vera 240 ML (Pc(s)),12,0,12
316,Putri Natural Creambath Aloe Vera 720 ML (Pc(s)),45,0,45
