Code,Product,Quantity on Hand,Reserved,Available
01292,Malaysia Wardah Everyday BB Cream Light SPF 30 30 ml (Pc(s)),8064.0,0.0,8064.0
01293,Malaysia Wardah Everyday BB Cream Natural SPF 30 30 ml (Pc(s)),7344.0,0.0,7344.0
01294,Malaysia Wardah Eye Brow Black 1.14 g (Pc(s)),160.0,0.0,160.0
01298,Malaysia Wardah Eye Liner White 1.14 g (Pc(s)),40.0,0.0,40.0
01306,Malaysia Wardah Intense Matte Lipstick 02 Blushing Nude 2.3 g (Pc(s)),240.0,0.0,240.0
01313,Malaysia Wardah Intense Matte Lipstick 09 Vibrant-Red 2.3 g (Pc(s)),147.0,0.0,147.0
01314,Malaysia Wardah Intense Matte Lipstick 10 Miss Terracotta 2.3 g (Pc(s)),1440.0,0.0,1440.0
01315,Malaysia Wardah Intense Matte Lipstick 11 Choco Town 2.3 g (Pc(s)),480.0,0.0,480.0
01343,Malaysia Wardah Sunscreen Gel SPF 30 40 ml,5.0,0.0,5.0
01353,Malaysia Wardah Olive Oil For Massage 150 ml (Pc(s)),72.0,0.0,72.0
01362,Malaysia Wardah White Secret Pure Brightening Cleanser 150 ml,1152.0,0.0,1152.0
01380,Malaysia Wardah Exclusive Matte Lip Cream 01 Red-dicted 4 g (Pc(s)),138.0,0.0,138.0
01382,Malaysia Wardah Exclusive Matte Lip Cream 03 See You Latte 4 g (Pc(s)),8448.0,0.0,8448.0
01383,Malaysia Wardah Exclusive Matte Lip Cream 04 Pink Me 4 g (Pc(s)),108.0,0.0,108.0
01384,Malaysia Wardah Exclusive Matte Lip Cream 05 Speachless 4 g (Pc(s)),2999.0,0.0,2999.0
01385,Malaysia Wardah Exclusive Matte Lip Cream 06 Feeling Red 4 g (Pc(s)),30.0,0.0,30.0
01386,"Malaysia Wardah Exclusive Matte Lip Cream 07 Hello, Ruby 4 g (Pc(s))",102.0,0.0,102.0
01387,Malaysia Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4 g (Pc(s)),270.0,0.0,270.0
01388,Malaysia Wardah Exclusive Matte Lip Cream 09 Mauve On ! 4 g (Pc(s)),5784.0,0.0,5784.0
01389,Malaysia Wardah Exclusive Matte Lip Cream 10 Berry Pretty 4 g (Pc(s)),864.0,0.0,864.0
01390,Malaysia Wardah Exclusive Matte Lip Cream 11 Oh So Nude ! 4 g (Pc(s)),7308.0,0.0,7308.0
01391,Malaysia Wardah Exclusive Matte Lip Cream 12 Plum It Up 4 g (Pc(s)),2736.0,0.0,2736.0
01742,Malaysia Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4 gr (Pc(s)),3660.0,0.0,3660.0
01743,Malaysia Wardah Exclusive Matte Lip Cream 14 My Honey Bee 4 gr (Pc(s)),2592.0,0.0,2592.0
01744,Malaysia Wardah Exclusive Matte Lip Cream 15 Pinky Plumise 4 gr (Pc(s)),4032.0,0.0,4032.0
01745,Malaysia Wardah Exclusive Matte Lip Cream 16 Heartbeet 4 gr (Pc(s)),18.0,0.0,18.0
01746,Malaysia Wardah Exclusive Matte Lip Cream 17 Rosy Cheek 4 gr (Pc(s)),3576.0,0.0,3576.0
01747,Malaysia Wardah Exclusive Matte Lip Cream 18 Saturdate Night 4 gr (Pc(s)),36.0,0.0,36.0
01768,Malaysia Wardah Nature Daily Aloe Hydramild Moisturizer Cream 40 ml,19.0,0.0,19.0
01769,Malaysia Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel 40 ml,4.0,0.0,4.0
01819,Malaysia Wardah White Secret Brightening Eye Cream 10 ml,24.0,0.0,24.0
01821,Malaysia Wardah Everyday Shine Free BB Loose Powder 8 gr (Pc(s)),35.0,0.0,35.0
01824,Malaysia Wardah Acnederm Pore Blackhead Balm 20 g,12.0,0.0,12.0
01845,Malaysia Wardah Renew You Anti Aging Eye Cream 10 ml,30.0,0.0,30.0
01848,Malaysia Wardah Lightening Face Toner 150 ml,48.0,0.0,48.0
01863,Malaysia Wardah Nature Daily Aloe Hydramild Facial Wash 100 ml,3.0,0.0,3.0
01869,Malaysia Wardah Acnederm Pure Foaming Cleanser 60 ml,8.0,0.0,8.0
02010,Malaysia Wardah Longlasting Lipstick 02 Pink Sorbet 2.3 g (Pc(s)),240.0,0.0,240.0
02018,Malaysia Wardah Longlasting Lipstick 12 Lustrous Red 2.3 g (Pc(s)),480.0,0.0,480.0
02220,Malaysia Wardah Instaperfect MINERALIGHT MATTE BB Cushion 13. BEIGE 15 g,60.0,0.0,60.0
02221,Malaysia Wardah Instaperfect MINERALIGHT MATTE BB Cushion 14. CRÉME 15 g,70.0,0.0,70.0
02222,Malaysia Wardah Instaperfect CITY BLUSH Blusher Click 01. Bliss 5.6 g,648.0,0.0,648.0
02224,Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 01. GLEE 5.5 g,660.0,0.0,660.0
02226,Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 03. CHIC 5.5 g,1716.0,0.0,1716.0
02227,Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 04. VIBE 5.5 g,1584.0,0.0,1584.0
02228,Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 05. HYPE 5.5 g,1320.0,0.0,1320.0
02230,Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 07. DAZZLE 5.5 g,264.0,0.0,264.0
02234,Malaysia Wardah Instaperfect DYNAMATIC Microsmooth Liner 0.2 g,1440.0,0.0,1440.0
02237,Malaysia Wardah Instaperfect MATTECENTRIC Lip Crayon 01 Pace 3 g,430.0,0.0,430.0
02238,Malaysia Wardah Instaperfect MATTECENTRIC Lip Crayon 02 Morale 3 g,960.0,0.0,960.0
02239,Malaysia Wardah Instaperfect MATTECENTRIC Lip Crayon 03 Honor 3 g,768.0,0.0,768.0
02240,Malaysia Wardah Instaperfect MATTECENTRIC Lip Crayon 04 Joy 3 g,576.0,0.0,576.0
02241,Malaysia Wardah Instaperfect MATTECENTRIC Lip Crayon 05 Sense 3 g,384.0,0.0,384.0
02242,Malaysia Wardah Instaperfect MATTECENTRIC Lip Crayon 06 Soul 3 g,519.0,0.0,519.0
02243,Malaysia Wardah Instaperfect GLOSS CHIC Lip Crayon 01 Rhythm 2.7 g,720.0,0.0,720.0
02245,Malaysia Wardah Instaperfect GLOSS CHIC Lip Crayon 03 Mind 2.7 g,360.0,0.0,360.0
02246,Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 11. FAIR 13 g,192.0,0.0,192.0
02251,Malaysia Wardah Instaperfect SPOTLIGHT Chromatic Eye Palette 10 g,576.0,0.0,576.0
02278,Malaysia Wardah Exclusive Liquid Foundation 04 Natural 20 ml,25.0,0.0,25.0
02305,Malaysia Wardah Paket Haji dan Umroh,250.0,0.0,250.0
02310,Malaysia Wardah Everyday Moisture Lip Nutrition Green Tea 4 g,39.0,0.0,39.0
02323,Malaysia Wardah Lightening Two Way Cake Light Feel 02 Golden Beige 12 g,7992.0,0.0,7992.0
02325,Malaysia Wardah Lightening Two Way Cake Light Feel 04 Natural 12 g,4572.0,0.0,4572.0
02337,Malaysia Wardah Renew You HydraFirm Sleeping Mask 30 g,264.0,0.0,264.0
02345,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 08 Brown Creator 4 g,384.0,0.0,384.0
02481,Malaysia Wardah Colorfit Ultralight Matte Lipstick 01 Parfait Pink 3.6 g,131.0,0.0,131.0
02483,Malaysia Wardah Colorfit Ultralight Matte Lipstick 03 Caramel Nude 3.6 g,72.0,0.0,72.0
02485,Malaysia Wardah Colorfit Ultralight Matte Lipstick 05 Blossom Pink 3.6 g,60.0,0.0,60.0
02486,Malaysia Wardah Colorfit Ultralight Matte Lipstick 06 Punch Fuchsia 3.6 g,72.0,0.0,72.0
02487,Malaysia Wardah Colorfit Ultralight Matte Lipstick 07 Crimson Red 3.6 g,96.0,0.0,96.0
02496,Malaysia Wardah Lightening Micellar Gentle Wash 100 ml,31.0,0.0,31.0
02497,Malaysia Wardah Lightening Whip Facial Foam 100 ml,25.0,0.0,25.0
02502,Malaysia Wardah Lightening Face Toner 125 ml,24.0,0.0,24.0
02504,Malaysia Wardah Lightening Serum Ampoule 5x5 ml,39.0,0.0,39.0
02505,Malaysia Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g,22.0,0.0,22.0
02506,Malaysia Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g,23.0,0.0,23.0
02507,Malaysia Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g,16.0,0.0,16.0
02508,Malaysia Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g,15.0,0.0,15.0
02510,Malaysia Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g,33.0,0.0,33.0
02517,Malaysia Wardah Lightening Liquid Concealer 02 Beige 7 g (Blister),36.0,0.0,36.0
02533,Malaysia Wardah Nature Daily Aloe Hydramild Hand Sanitizer 100 ml,1456.0,0.0,1456.0
02550,Malaysia Wardah Acnederm Face Powder 20 g,110.0,0.0,110.0
02552,Malaysia Wardah Acnederm Pore Blackhead Balm 20 g,7.0,0.0,7.0
02553,Malaysia Wardah Acnederm Pore Refining Toner 100 ml,4780.0,0.0,4780.0
02574,Malaysia Wardah Everyday BB Cream Light 30 ml,36.0,0.0,36.0
02580,Malaysia Wardah Everyday Shine Free BB Loose Powder 8 g,47.0,0.0,47.0
02608,Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 14 CRÉME13 g,3.0,0.0,3.0
02609,Malaysia Wardah Instaperfect MATTECENTRIC Lip Crayon 01 Pace 3 g,76.0,0.0,76.0
02617,Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 03. CHIC 5.5 g,132.0,0.0,132.0
02630,Malaysia Wardah Instaperfect MINERALIGHT MATTE BB Cushion 12. IVORY 15 g,72.0,0.0,72.0
02655,Malaysia Wardah Nature Daily Seaweed Cleansing Micellar Water 240 ml,8.0,0.0,8.0
02661,Malaysia Wardah Perfect Bright Creamy Foam Brightening + Oil Control 100 ml,30.0,0.0,30.0
02681,Malaysia Wardah White Secret Pure Treatment Essence 100 ml,60.0,0.0,60.0
02695,Malaysia Wardah Longlasting Lipstick 13 Classic Brown 2.3 g,96.0,0.0,96.0
02737,Malaysia Wardah Intense Matte Lipstick 15 Out of Red! 2.3 g,166.0,0.0,166.0
02738,Malaysia Wardah Intense Matte Lipstick 16 Pecan Pie 2.3 g,156.0,0.0,156.0
02741,"Malaysia Wardah Everyday Cheek and Lip Tint 01 Red, Set, Glow! 5.5 g",24.0,0.0,24.0
02757,Malaysia Wardah Exclusive Matte Lipstick 16 Summer Pink 3.5 g,132.0,0.0,132.0
02765,Malaysia Wardah Exclusive Two Way Cake 01 Sheer Pink 12 g,27.0,0.0,27.0
02766,Malaysia Wardah Exclusive Two Way Cake 02 Light Beige 12 g,24.0,0.0,24.0
02767,Malaysia Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g,27.0,0.0,27.0
02768,Malaysia Wardah Exclusive Two Way Cake 04 Natural 12 g,59.0,0.0,59.0
02769,Malaysia Wardah Exclusive Two Way Cake 05 Coffee Beige 12 g,14.0,0.0,14.0
02772,Malaysia Wardah Exclusive Blush On 01 Rosy Pink 6.5 g,864.0,0.0,864.0
02800,Malaysia Wardah Crystallure Supreme Revitalizing Rich Cream 50 g,147.0,0.0,147.0
02805,Malaysia Wardah Crystallure Supreme Revitalizing Oil Serum 30 ml,9.0,0.0,9.0
02880,Malaysia Wardah Hydra Rose Micro Gel Serum 30 ml,2940.0,0.0,2940.0
02888,Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 01 EXCEPTIONAL 4.2 g,24.0,0.0,24.0
02892,Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 05 SPLENDID 4.2 g,80.0,0.0,80.0
02895,Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 08 DASHING 4.2 g,24.0,0.0,24.0
02969,Malaysia Wardah Colorfit Velvet Powder Foundation 11C Pink Fair 11 g,4.0,0.0,4.0
02970,Malaysia Wardah Colorfit Velvet Powder Foundation 22N Light Ivory 11 g,29.0,0.0,29.0
02971,Malaysia Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g,22.0,0.0,22.0
02972,Malaysia Wardah Colorfit Velvet Powder Foundation 32N Neutral Beige 11 g,28.0,0.0,28.0
02974,Malaysia Wardah Colorfit Velvet Powder Foundation 43W Golden Sand 11 g,29.0,0.0,29.0
02975,Malaysia Wardah Colorfit Velvet Powder Foundation 42N Neutral Sand 11 g,5.0,0.0,5.0
02976,Malaysia Wardah Colorfit Velvet Powder Foundation 52N Almond 11 g,1.0,0.0,1.0
02981,Malaysia Wardah Colorfit Matte Foundation 33W Olive Beige 25 ml,116.0,0.0,116.0
02989,Malaysia Wardah Lightening Face Mist 60 ml,40.0,0.0,40.0
03018,Malaysia Emina Cheek Lit Pressed Blush Sugarcane 3.5 gr (Pc(s)),240.0,0.0,240.0
03020,Malaysia Emina Cheek Lit Pressed Blush Marshmallow Lady 3.5 gr (Pc(s)),120.0,0.0,120.0
03022,Malaysia Emina Cheek Lit Pressed Blush Cherry Blossoms 3.5 gr (Pc(s)),240.0,0.0,240.0
03068,Malaysia Emina Ms. Pimple Acne Solution Spot Gel 15 ml,7602.0,0.0,7602.0
03087,Malaysia Emina Glossy Stain 05 Spring Dazzle 3 g,384.0,0.0,384.0
03095,Malaysia Emina Skin Buddy Bubble Up Face Wash 60 ml,720.0,0.0,720.0
03097,Malaysia Emina Skin Buddy Micellar Water 100 ml,28.0,0.0,28.0
03322,Malaysia Wardah EyeXpert Eyebrow Pencil Black 1.14 g (Blister),96.0,0.0,96.0
03515,Malaysia Wardah C-Defense Energizing Whip Foam 100 ml,35.0,0.0,35.0
03652,Malaysia Emina Masquerade Face Mask Cactus 23 g,13.0,0.0,13.0
03653,Malaysia Emina Masquerade Face Mask Grapefruit 23 g,1.0,0.0,1.0
03654,Malaysia Emina Masquerade Face Mask Blueberry 23 g,44.0,0.0,44.0
03655,Malaysia Emina Masquerade Face Mask Charcoal 23 g,30.0,0.0,30.0
