DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC ACEH,MAKE OVER,LIP MAKE UP,MAKE OVER ULTRA HI-MATTE LIPSTICK,01138,L-UHRR008-MO2.3G,8993137696937,MAKE OVER ULTRA HI-MATTE LIPSTICK 008 RUNWAY REBEL 2.3 G (PC(S)),81981.99,1,0,1,81981.99,0,81981.99,
DC ACEH,MAKE OVER,EYE MAKE UP,MAKE OVER POWERSTAY EYE SHADOW PRIMER,02082,ES-PPR-MO,8993137701471,MAKE OVER POWERSTAY EYESHADOW PRIMER 7 G,73873.88,50,0,50,3693694,0,3693694,
DC ACEH,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION,02424,F-LPWN50-MO,8993137707374,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION N50 TAN 33 ML,145945.95,34,0,34,4962162.3,0,4962162.3,
DC ACEH,MAKE OVER,LIP MAKE UP,MAKE OVER LIP CREAM MATTE,02784,L-TSIMLCS-MO,8993137711395,MAKE OVER TITIES SAPOETRA INTENSE MATTE LIP CREAM SENNA 6.5 G,96396.4,4,0,4,385585.6,0,385585.6,
DC ACEH,MAKE OVER,EYE MAKE UP,MAKE OVER POWERSTAY EYE LINER LIQUID,01674,EL-PPLCB-MO2.7G,8993137700450,MAKE OVER POWERSTAY PRECISION LIQUID LINER COBALT BLUE 2.7 G,87387.39,18,0,18,1572973.02,0,1572973.02,
DC ACEH,MAKE OVER,LIP MAKE UP,MAKE OVER CLIQUEMATTE,01983,L-CQS209-MO2G,8993137701488,MAKE OVER CLIQUEMATTE LIP STYLO 209 ROYALE 2 G,101801.81,4,0,4,407207.24,0,407207.24,
DC ACEH,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY TWC,02306,TC-PMN50-MO,8993137707213,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION N50 TAN 12 G,164864.87,46,0,46,7583784.02,0,7583784.02,
DC ACEH,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY TWC,02407,TC-PMN40-MO,8993137707763,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION N40 SAND 12 G,164864.87,4,0,4,659459.48,0,659459.48,
DC ACEH,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY ILLUMINATOR,02400,PRM-PRI01-MO,8993137706643,MAKE OVER POWERSTAY RADIANT ILLUMINIZER LUMIERE 25 G,109909.91,14,0,14,1538738.74,0,1538738.74,
DC ACEH,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION,01584,F-LPWW42-MO33ML,8993137699686,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION W42 WARM SAND 33 ML,145945.95,1,0,1,145945.95,0,145945.95,
