"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"1","2022-06-22","FP1 ","TC-RPC08-MO12G/H0009","MAKE OVER Perfect Cover Refill TWC 08 Honey 12 g (Pc(s))","1440","1394","46","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"2","2022-06-22","ADR1 ","SRM-RLSAN1-W/H0019","Wardah Lightening Serum Ampoule 30 ml","29475","29475","","NH","(not set)","(not set)","(not set)","(not set)",""
"3","2022-06-22","xe1 ","F-PTCMCN10-MO/H0018","MAKE OVER Powerstay Total Cover Matte Cream Foundation N10 Marble 12 g","216","195","21","NH,NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"4","2022-06-22","ry1 ","TC-R3LLF07-W/H0007","Wardah Lightening Powder Foundation Light Feel 07 Honey Beige 12 g","2916","2855","61","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"5","2022-06-22","li1 ","L-EMC08-W4GR/H0015","Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4 gr (Pc(S))","18432","8064","10368","NH","Due sudah lewat , karena efek domino dari jadwal sebelumnya","Machine","Mesin Down","Select Kendala",""
"6","2022-06-22","JR3 ","FW-PCSRB-KA/H0068","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","9026","334","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"7","2022-06-22","vr18 ","B-BSLP-EM/H0165","Emina Bright Stuff Loose Powder 55 g","2018","936","1082","NH,NI","Di close karena beda data stok FG","Internal – Material Supply","Packaging/FG Impor Supply","Beda Data Stock",""
"8","2022-06-22","JR4 ","FW-PCSRB-KA/H0069","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","8995","365","NI","(not set)","(not set)","(not set)","(not set)",""
"9","2022-06-22","WS1 ","L-CVM08-W/H0013","Wardah Colorfit Velvet Matte Lip Mousse 08 Brown Creator 4 g","10224","9979","245","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"10","2022-06-22","BI1 ","B-DMCP02-EM/H0017","Emina Daily Matte Compact Powder 02 Natural 11 g","4716","4697","19","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"11","2022-06-22","AFN1 ","F-EVLLF04-W/H0004","Wardah Everyday Luminous Liquid Foundation – 04 Natural 35 ml","16706","15552","1154","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"12","2022-06-22","IN2 ","HBW-BWN2C-BD/H0016","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 400 ml","6955","6924","31","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"13","2022-06-22","bm2 ","M-BSC-EM/H0045","Emina Bright Stuff Moisturizing Cream 20 ml","44461","44461","","NH","MESIN TROUBLE","Machine","New Machine","Mechanical",""
"14","2022-06-22","vr19 ","B-BSLP-EM/H0166","Emina Bright Stuff Loose Powder 55 g","2080","1078","1002","NH,NI","Di close karena beda data stok FG","Internal – Material Supply","Packaging/FG Impor Supply","Beda Data Stock",""
"15","2022-06-22","bz1 ","BBC-EL-W15ML/H0005","Wardah Everyday BB Cream Light 15 ml (pc(s))","41000","39600","1400","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"16","2022-06-22","VO1 ","TC-RRE03-W/H0022","Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","7425","7167","258","NI","Di close karena bulk  habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"17","2022-06-22","vr17 ","B-BSLP-EM/H0164","Emina Bright Stuff Loose Powder 55 g","1080","1074","6","NI","Di close karena beda data stok FG","Internal – Material Supply","Packaging/FG Impor Supply","Beda Data Stock",""
"18","2022-06-22","ADD1 ","FA-IPLGH02-W/H0001","Instaperfect Hi Glow Fluid Highlighter Rose Quartz","6612","5897","715","NH,NI","Bulk telat release","Leadtime","Leadtime &gt; Standard","Delay Pengiriman",""
"19","2022-06-22","NE1 ","FW-CD-W100ML/H0043","Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s))","28680","28590","90","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"20","2022-06-22","JR8 ","FW-PCSRB-KA/H0073","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","","9360","NH,NI","bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"21","2022-06-22","QG3 ","EB-EK-W3G/H0010","Wardah EyeXpert Eyebrow Kit 3 g (Pc(s))","3996","3996","","NH","jadwal belum kepegang","Leadtime","Leadtime &gt; Standard","Select Kendala",""
"22","2022-06-22","VN6 ","TC-RRE02-W/H0022","Wardah Refill Exclusive Two Way Cake 02 Light Beige 12 g","7425","7065","360","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"23","2022-06-22","wl1 ","F-RECF02-W/H0002","Wardah Exclusive Creamy Foundation 02 Sheer Pink 12 g","1440","1420","20","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"24","2022-06-22","jc1 ","FT-BST-EM/H0017","Emina Bright Stuff Face Toner 100 ml","29550","27750","1800","NI","(not set)","(not set)","(not set)","(not set)",""
"25","2022-06-22","dj1 ","L-HSLWC-MO/H0005","Make Over Hydrastay Smooth Lip Whip C03 Poetic 6.5 g","360","288","72","NH,NI","Efek domino dari jadwal sebelumnya","Leadtime","Leadtime &gt; Standard","Select Kendala",""
"26","2022-06-22","XF1 ","BP-SPRE-W35ML/H0005","Wardah Scentsation Purity Eau De Toilette 35 ml (Pc(s))","7668","7524","144","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"27","2022-06-22","nn1  ","MY-RLCVM04-W/H0012","Malaysia Wardah Colorfit Velvet Matte Lip Mousse 04 Pink Sweetheart 4 g","3264","3072","192","NI","(not set)","(not set)","(not set)","(not set)",""
"28","2022-06-22","JR2 ","FW-PCSRB-KA/H0067","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","8390","970","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
