"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"1","2022-06-29","yw2 ","L-CHC08-MO/H0011","MAKE OVER Color Hypnose Creamy Lipmatte 08 Addicted 4.3 g","528","517","11","NI","(not set)","(not set)","(not set)","(not set)",""
"2","2022-06-29","az1 ","L-MLCN-OMG/H0015","OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g","53160","52440","720","NI","(not set)","(not set)","(not set)","(not set)",""
"3","2022-06-29","fh2 ","BP-RHEDT-KA/BSH0001","Kahf Revered Oud Eau de Toilette 35 ml","1232","1012","220","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"4","2022-06-29","cq2 ","FW-RWSABHA-W/H0043","Wardah Crystal Secret Foaming Cleanser with Natural AHA+PHA 100 ml","28830","27690","1140","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"5","2022-06-29","VK1 ","TC-RE04-W/H0015","Wardah Exclusive Two Way Cake 04 Natural 12 g","7500","6980","520","NI","(not set)","(not set)","(not set)","(not set)",""
"6","2022-06-29","UZ2 ","L-CSGC104-MO/H0006","MAKE OVER Color Stick Gloss Crayon 104 Chloe 3 g","180","179","1","NI","(not set)","(not set)","(not set)","(not set)",""
"7","2022-06-29","yj1 ","L-CUM07-W/H0010","Wardah Colorfit Ultralight Matte Lipstick 07 Crimson Red 3.6 g","4752","4608","144","NI","(not set)","(not set)","(not set)","(not set)",""
"8","2022-06-29","ut1 ","B-DMLP02-EM/H0022","Emina Daily Matte Loose Powder 02 Natural Beige 20 g","4586","4578","8","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"9","2022-06-29","fe1 ","TC-PC01-MO12G/H0010","MAKE OVER Perfect Cover TWC 01 Lace 12 g (Pc(s))","4824","4058","766","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"10","2022-06-29","acs1 ","MY-FWLWFN2-W/H0018","Malaysia Wardah Lightening Whip Facial Foam 100 ml","9520","9135","385","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"11","2022-06-29","jj1 ","F-LPWW41-MO33ML/H0005","MAKE OVER Powerstay Weightless Liquid Foundation W41 Coral Sand 33 ml","2460","1975","485","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"12","2022-06-29","UX2 ","L-CSGC102-MO/H0010","MAKE OVER Color Stick Gloss Crayon 102 Abigail 3 g","180","","180","NI","(not set)","(not set)","(not set)","(not set)",""
"13","2022-06-29","MB2 ","SS-UVSAFE-W/H0017","Wardah UV Shield Aqua Fresh Essence SPF 50 30 ml","30558","26180","4378","NI","(not set)","(not set)","(not set)","(not set)",""
"14","2022-06-29","yh1 ","L-CUM05-W/H0019","Wardah Colorfit Ultralight Matte Lipstick 05 Blossom Pink 3.6 g","4752","4620","132","NI","(not set)","(not set)","(not set)","(not set)",""
"15","2022-06-29","JC1 ","FT-BST-EM/H0018","Emina Bright Stuff Face Toner 100 ml","29550","27625","1925","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"16","2022-06-29","KU1 ","BO-CLPPPML-EM3.5GR/H0025","Emina Cheek Lit Pressed Blush Marshmallow Lady 3.5 gr (Pc(s))","3000","2932","68","NI","(not set)","(not set)","(not set)","(not set)",""
"17","2022-06-29","yv1 ","FW-LMGWN1-W/H0020","Wardah Lightening Micellar Gentle Wash 50 ml","56711","56500","211","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"18","2022-06-29","vu1 ","M-CSAOC-W/H0003","Wardah Crystallure Supreme Activating Overnight Cream 50 g","3516","3372","144","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"19","2022-06-29","ne1 ","FW-CD-W100ML/H0044","Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s))","28680","28470","210","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"20","2022-06-29","aew1 ","MY-LSMULMB-EM/H0005","Malaysia Emina Squeeze Me Up Lip Matte 02. Bake a Cookie 6.5 g","1968","1944","24","NI","(not set)","(not set)","(not set)","(not set)",""
"21","2022-06-29","aca1 ","FT-FTVC-OMG/H0025","OMG Oh My Glow Peach Glowing Toner 100 ml","9648","9233","415","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"22","2022-06-29","ub1 ","L-IPMMS05-W3.5G/H0008","Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 05. FLUX 3.5 g","792","641","151","NI","(not set)","(not set)","(not set)","(not set)",""
"23","2022-06-29","eq3 ","MY-RTCRE05-W/H0004","Malaysia Wardah Exclusive Two Way Cake 05 Coffee Beige 12 g","750","630","120","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"24","2022-06-29","vk2 ","TC-RE04-W/H0014","Wardah Exclusive Two Way Cake 04 Natural 12 g","7500","7470","30","NI","Di close karena bulk habiis","Loss MPQ","Bulk habis","Hilang karena proses",""
"25","2022-06-29","dk3 ","FW-BS-EM50ML/H0043","Emina Bright Stuff Face Wash 50 ml","38592","38550","42","NI","BULK HABIS ","Loss MPQ","Bulk habis","Hilang karena proses",""
"26","2022-06-29","FL1 ","HBW-BWN1C-BD/H0006","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Botol 275 ml","3409","3348","61","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"27","2022-06-29","anf1 ","SRM-ELB-W/H0002","Wardah Eyexpert Brow Lash Serum 10 ml","7454","7344","110","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"28","2022-06-29","afo1 ","MY-MLDGN1-W/H0015","Malaysia Wardah Lightening Day Gel 30 g","6070","5856","214","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"29","2022-06-29","BP1 ","B-PT01-MO35G/H0029","MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s))","2754","2753","1","NI","(not set)","(not set)","(not set)","(not set)",""
"30","2022-06-29","zr1 ","FW-LMGWN2-W/H0026","Wardah Lightening Micellar Gentle Wash 100 ml","28805","28455","350","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
