"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"LAR-ATGPUS-BULK","LAR-ATGPUS-BULK","ATG Pustreite Bulk","2022-06-05 05:37:01","Confirmed","","5","Confirmed"
"BOTP-CCA10150-IX","BOTP-CCA10150-IX","BOTP Caractere Color Activate 10Vol 150 IX","2022-06-05 11:47:40","Confirmed","","5","Confirmed"
"BOTP-CCA20150-IX","BOTP-CCA20150-IX","BOTP Caractere Color Activate 20Vol 150 IX","2022-06-05 11:47:51","Confirmed","","5","Confirmed"
"BOTP-CCA30150-IX","BOTP-CCA30150-IX","BOTP Caractere Color Activate 30Vol 150 IX","2022-06-05 11:48:02","Confirmed","","5","Confirmed"
"BOTP-CCA40150-IX","BOTP-CCA40150-IX","BOTP Caractere Color Activate 40Vol 150 IX","2022-06-05 11:48:11","Confirmed","","5","Confirmed"
"BOTP-ERBSAS30-T","BOTP-ERBSAS30-T","BOTP Encapsulated Retinol BSAS 30 T","2022-06-30 08:55:00","Confirmed","","3","Confirmed"
"BOTP-NZASS30-T","BOTP-NZASS30-T","BOTP Niacinamide ZASS 30 T","2022-06-17 09:21:58","Confirmed","","3","Confirmed"
"BOTP-PBSCMBS30-T","BOTP-PBSCMBS30-T","BOTP PB Squalane + Ceramide MBS 30 T","2022-07-07 12:10:30","Confirmed","","3","Confirmed"
"BOTP-NLREV2450-P","BOTP-NLREV2450-P","BOTP Putri PRO Netlot 450 R2","2021-12-02 03:22:05","Waiting for Approval","","0","Draft"
"BOTP-SL200R2-P","BOTP-SL200R2-P","BOTP Putri Setting Lotion 200 R2","2022-06-30 08:55:25","Confirmed","","3","Confirmed"
"BOTP-HSNANB200R2-P","BOTP-HSNANB200R2-P","BOTP Putri Style HSB 200 R2","2022-06-30 08:55:36","Confirmed","","3","Confirmed"
"BOTP-HSNANB450R2-P","BOTP-HSNANB450R2-P","BOTP Putri Style HSB 450 R2","2022-06-30 08:55:47","Confirmed","","3","Confirmed"
"BOTP-HSNASH200R2-P","BOTP-HSNASH200R2-P","BOTP Putri Style HSH 200 R2","2022-06-30 08:55:57","Confirmed","","3","Confirmed"
"BOTP-HSNASH450R2-P","BOTP-HSNASH450R2-P","BOTP Putri Style HSH 450 R2","2022-06-30 08:56:08","Confirmed","","3","Confirmed"
"BOTS-SCMWR0-W","BOTS-SCMWR0-W","BOTS Seaweed Cleansing Micellar Water W","2022-06-05 11:49:35","Confirmed","","5","Confirmed"
"BASE-PC-BULK","BASE-PC-BULK","Base Perfect Cover Two Way Cake","2022-06-05 11:56:14","Confirmed","","5","Confirmed"
"BASE-PMPF-BULK","BASE-PMPF-BULK","Base Powerstay Matte Powder Foundation","2022-06-05 11:56:41","Confirmed","","3","Confirmed"
"BASE-R3L-BULK","BASE-R3L-BULK","Base Wardah Lightening Matte Powder","2022-06-05 11:56:50","Confirmed","","5","Confirmed"
"BASE-R3LLF-BULK","BASE-R3LLF-BULK","Base Wardah Lightening Powder Foundation Light Feel","2022-06-05 11:57:01","Confirmed","","5","Confirmed"
"BOTP-SSNC360-IX","BOTP-SSNC360-IX","Botol Print BOTP SS Neutralizer Cream 360 IX","2022-06-05 12:48:45","Confirmed","","5","Confirmed"
"BOTP-PBCAC240-IX","BOTP-PBCAC240-IX","Botol Print Beauty Curl Addict Conditioner 240 ml IX","2022-06-05 12:48:55","Confirmed","","5","Confirmed"
