"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"00004","A-W1MG-W40 ML","Acne Perfecting Moisurizer Gel Wardah 40 ml (Pc(s))","2022-06-05 05:38:07","Confirmed","STD","5","Confirmed"
"03169","FW-ADCDN2-AM","Atmos Men Anti-Acne Acne Defence Face Wash 100 ml","2022-07-07 12:31:40","Confirmed","STD","5","Confirmed"
"03162","FW-ADCDN1-AM","Atmos Men Anti-Acne Acne Defence Face Wash 50 ml","2022-06-05 11:44:35","Confirmed","STD","5","Confirmed"
"03163","FW-DCPPN2-AM","Atmos Men Deepcool Power Pore Face Wash 100 ml","2022-07-07 12:31:55","Confirmed","STD","5","Confirmed"
"03164","FW-DCPPN1-AM","Atmos Men Deepcool Power Pore Face Wash 50 ml","2022-06-05 11:45:21","Confirmed","STD","5","Confirmed"
"03165","FW-PBOCN2-AM","Atmos Men Power Bright Oil Control Face Wash 100 ml","2022-07-07 12:32:15","Confirmed","STD","5","Confirmed"
"03166","FW-PBOCN1-AM","Atmos Men Power Bright Oil Control Face Wash 50 ml","2022-06-05 11:46:01","Confirmed","STD","5","Confirmed"
"03167","FW-PBPDN2-AM","Atmos Men Power Bright Pollution Defence Face Wash 100 ml","2022-07-07 12:32:39","Confirmed","STD","5","Confirmed"
"03168","FW-PBPDN1-AM","Atmos Men Power Bright Pollution Defence Face Wash 50 ml","2022-06-05 11:46:25","Confirmed","STD","5","Confirmed"
"04956","L-BKML01-B","Beyondly Baby Multipurpose Lotion","2022-07-11 03:29:42","Draft","","0","Draft"
"04958","L-BKSS01-B","Beyondly Baby Sun Shield Lotion","2022-07-11 03:29:43","Draft","","0","Draft"
"04648","EO-OKDS01-B","Beyondly Blend Oil Kit Daily Sinergy 3x10 ml","2022-07-01 08:40:23","Confirmed","COPACKING","5","Confirmed"
"04603","S-CSCB01-B","Beyondly Calm Barrier Collagen Serum","2022-07-08 10:04:57","Confirmed","STD","4","Confirmed"
"04606","MB-COTR01-B","Beyondly Carrier Oil Terra 100 ml","2022-07-08 10:04:57","Confirmed","STD","4","Confirmed"
"04693","M-SSSC01-B","Beyondly Collagen Serum Sunscreen SPF50 PA++++ 40ml","2022-07-07 12:13:19","Confirmed","STD","4","Confirmed"
