"kode_odoo";"scm_koitem";"brand";"product";"scm_dc";koli;list_price;quantity_dc;quantity_dc_transit;quantity_dc_transit_sjb;quantity_assigned;quantity_assigned_cross_dock;quantity_dc_transit_cross_dock;quantity_waiting;quantity_quarantine;quantity_idmsat;qtytotal;write_date;dailyforecast;std_stock;stock_ndc;stock_rdc;qo;qop;qop1;qop2;qop_final;"klasifikasi_order";"flag"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Aceh";144.0;20018.02;0.0;0.0;576.0;288.0;0.0;0.0;0.0;507.0;0.0;1371.0;2022/06/23 00:00:00.000;37.63;740.54;0.0;561.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Ambon";12.0;20018.02;24.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;2022/06/23 00:00:00.000;0.0;1.57;0.0;543.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bali";12.0;20018.02;88.0;0.0;0.0;324.0;0.0;0.0;0.0;3.0;0.0;415.0;2022/06/23 00:00:00.000;19.04;123.0;0.0;178.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bandung";144.0;20018.02;2983.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2983.0;2022/06/23 00:00:00.000;152.92;2564.0;12.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bangka";12.0;20018.02;398.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;398.0;2022/06/23 00:00:00.000;4.54;121.59;0.0;1767.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Banjarmasin";144.0;20018.02;2921.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2921.0;2022/06/23 00:00:00.000;69.75;3159.51;12.0;;238.51;95.404;0;144;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Banten";144.0;20018.02;346.0;0.0;0.0;0.0;0.0;0.0;0.0;678.0;12.0;1036.0;2022/06/23 00:00:00.000;52.71;376.0;12.0;;30.0;12;0;144;0;"URGENT";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Batam";144.0;20018.02;192.0;0.0;0.0;0.0;0.0;0.0;0.0;83.0;0.0;275.0;2022/06/23 00:00:00.000;4.75;199.23;0.0;287.0;7.23;2075.01;0;144;144;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bekasi";12.0;20018.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2022/06/23 00:00:00.000;0.0;0.0;12.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bengkulu";12.0;20018.02;246.0;0.0;144.0;0.0;0.0;0.0;0.0;142.0;0.0;532.0;2022/06/23 00:00:00.000;5.38;93.93;0.0;1767.0;0.0;0;0;0;0;"NORMAL";"odoo"
