"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"1","MO-HBL-V4-BULK/H0002","HBL-V4-WL/H0002","HBL-V4-WL/H0002","QC FG","JADWAL BARU","1","(not set)","2022-03-14","2022-03-17","Wonderly Brightening Serum Body Lotion Amore 300 ml","Processing","Done","HBL-V4-WL","CI15A",""
"2","MO-EB-SMUEMB-BULK/H0003","EB-SMUEMB-EM/H0003","EB-SMUEMB-EM/H0003","QC FG","JADWAL BARU","1","(not set)","2022-03-28","2022-03-30","Emina Squeeze Me Up Browcara Ashy 8 g","Processing","Done","EB-SMUEMB-EM","CI28A",""
"3","MO-HBW-ETBWD-BULK/H0001","HBW-ETBWD-W/H0001","HBW-ETBWD-W/H0001","QC FG","JADWAL BARU","1","(not set)","2022-04-12","2022-04-16","Earth Love Life Spanish Lavender &amp; Javanese Rice Milk  Body Wash 250 ml","Processing","Done","HBW-ETBWD-W","DI13A",""
"4","MO-HBW-ETBWE-BULK/H0001","HBW-ETBWE-W/H0001","HBW-ETBWE-W/H0001","QC FG","JADWAL BARU","1","(not set)","2022-04-11","2022-04-14","Earth Love Life South Bali Frangipani &amp; Tropical Coconut Water Body Wash 250 ml","Processing","Done","HBW-ETBWE-W","DI12A",""
"5","MO-M-RRPBNS-BULK/H0002","M-RPBNS20-W/H0002","M-RPBNS20-W/H0002","QC FG","JADWAL BARU","1","(not set)","2022-02-23","2022-02-25","Wardah Perfect Bright Moisturizer Bright + Smooth Glow SPF 30 PA+++ 20 ml","Processing","Done","M-RPBNS20-W","BI23A",""
"6","MO-SRM-PSOC-BULK/H0001","SRM-PSOC-MO/H0001","SRM-PSOC-MO/H0001","QC FG","JADWAL BARU","1","(not set)","2022-04-06","2022-04-18","Make Over Powerskin Oil Control Serum 30 ml","Processing","Done","SRM-PSOC-MO","DI07A",""
"7","MO-SRM-PSDS-BULK/H0001","SRM-PSDS-MO/H0001","SRM-PSDS-MO/H0001","QC FG","JADWAL BARU","1","(not set)","2022-04-05","2022-04-14","Make Over Powerskin Dark Spot Serum 30 ml","Processing","Done","SRM-PSDS-MO","DI05A",""
"8","MO-F-RVLPWN40-BULK/H0001","F-RVLPWN40-MO/H0001","F-RVLPWN40-MO/H0001","QC FG","JADWAL BARU","1","(not set)","2022-02-24","2022-03-02","MAKE OVER Powerstay Weightless Liquid Foundation N40 Sand 33 ml","Processing","Done","F-RVLPWN40-MO","BI25A",""
"9","MO-SRM-PB-BULK/H0001","SRM-PB-W/H0001","SRM-PB-W/H0001","QC FG","JADWAL BARU","1","(not set)","2022-02-26","2022-03-10","Wardah Perfect Bright Serum 8 ml","Processing","Done","SRM-PB-W","CI04A",""
"10","MO-MASK-CLV-BULK/H0001","MASK-CLV-EM/H0001","MASK-CLV-EM/H0001","QC FG","JADWAL BARU","1","(not set)","2022-03-30","2022-04-02","Emina Cosmic Lash Volume Mascara 7 g","Processing","Done","MASK-CLV-EM","CI31A",""
"11","MO-L-PVW02-BULK/H0002","L-PVW02-MO/H0002","L-PVW02-MO/H0002","QC FG","JADWAL BARU","1","(not set)","2022-03-01","2022-03-07","MAKE OVER Powerstay Vivid Waterlite Lip Stain A02 Double Dare 5.5 g","Processing","Done","L-PVW02-MO","CI02A",""
"12","MO-SRM-DB-BULK/H0004","SRM-DB-WL/H0004","SRM-DB-WL/H0004","QC FG","JADWAL BARU","1","(not set)","2022-03-30","2022-04-08","Wonderly Advanced Brightening Face Serum 15 ml","Processing","Done","SRM-DB-WL","DI01A",""
"13","MO-SRM-DB-BULK/H0002","SRM-DB-WL/H0002","SRM-DB-WL/H0002","QC FG","JADWAL BARU","1","(not set)","2022-02-23","2022-03-04","Wonderly Advanced Brightening Face Serum 15 ml","Processing","Done","SRM-DB-WL","BI24A",""
